coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_base,length_pcp_base,pcp_base_frac_inf,pcp_base_precision,pcp_base_clusters,pcp_base_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.895,4.001524761364709,0.901,4.009235406854612,0.0,20.0,1.0,-2.220446049250313e-16,0.8996666666666666,3.984896967710351,0.0,1.0,4.0,,0.7553734650563008,1.4401723988380408,0.7039505135088173,1,4,0.5,False,True,20,-5666.656327385544
0.9083333333333333,4.367399589669558,0.9173333333333333,4.3900760188166075,0.0,20.0,1.0,-2.220446049250313e-16,0.9163333333333333,4.352708880133314,0.0,1.0,4.0,,0.7494035531070183,4.057838768977506,0.7213641418606997,1,4,0.75,False,True,22,-6118.714393430797
0.876,4.2000084852111,0.8816666666666667,4.181444080355937,0.0,20.0,1.0,2.220446049250313e-16,0.8813333333333333,4.19973890231527,0.0,1.0,4.0,,0.7401389392675085,1.092233338391135,0.7702697006263758,1,4,1.0,False,True,55,-5855.0038578972235
0.905,4.7825700879734105,0.898,4.644701491290639,0.0,20.0,1.0,-2.220446049250313e-16,0.904,4.635615114341552,0.0,1.0,4.0,,0.7565239844452726,0.529387332774449,0.708698636068683,1,4,1.5,False,True,27,-5801.876858260857
0.912,5.230444016893408,0.9036666666666666,5.061609023133762,0.0,20.0,1.0,0.0,0.911,5.102841116899325,0.0,1.0,4.0,,0.7645601023268594,0.5456397271136667,0.7375016146606134,1,4,2.0,False,True,26,-5979.382420104165
0.8863333333333333,3.952844663178769,0.8946666666666667,3.991734555238208,0.0,20.0,1.0,-2.220446049250313e-16,0.886,3.927369538249448,0.0,1.0,4.0,,0.7587235808751952,4.5461239788570875,0.713091414882894,2,4,0.5,False,True,38,-5953.088439401656
0.895,4.139144726516755,0.895,4.173102609508248,0.0,20.0,1.0,3.3306690738754696e-16,0.8933333333333333,4.132969503769066,0.0,1.0,4.0,,0.7429416395823057,1.1801257687674345,0.7245482505842986,2,4,0.75,False,True,33,-5779.531890257347
0.8993333333333333,4.367713622934892,0.898,4.262350934036057,0.0,20.0,1.0,0.0,0.8933333333333333,4.262774953223756,0.0,1.0,4.0,,0.7476484486243496,1.1580473582715125,0.7462447181408,2,4,1.0,False,True,52,-5889.627678084322
0.905,4.862639388763324,0.9,4.756100137259999,0.0,20.0,1.0,0.0,0.9026666666666666,4.692797634708583,0.0,1.0,4.0,,0.7555837069233322,0.5712385602532231,0.7703385837079377,2,4,1.5,False,True,34,-5887.965332875672
0.9016666666666666,5.124358743846882,0.891,4.848798414524998,0.0,20.0,1.0,-2.220446049250313e-16,0.889,4.832396207300973,0.0,1.0,4.0,,0.7634038044681195,0.5347148468006097,0.7177360515147081,2,4,2.0,False,True,20,-6000.755566462942
0.8953333333333333,4.169804027213945,0.8956666666666667,4.0370916741360565,0.0,20.0,1.0,0.0,0.897,4.039747118406478,0.0,1.0,4.0,,0.7549185461851533,1.4220648927410062,0.7258104454909552,3,4,0.5,False,True,40,-5780.157541287259
0.892,4.12020417620019,0.8956666666666667,4.0767104967281185,0.0,20.0,1.0,-2.220446049250313e-16,0.8856666666666667,4.052530738800246,0.0,1.0,4.0,,0.7559258275682607,1.2977627562666245,0.7689433848201653,3,4,0.75,False,True,26,-5819.832723626503
0.9066666666666666,4.265726202553322,0.899,4.271242639930859,0.0,20.0,1.0,0.0,0.8996666666666666,4.236580266016191,0.0,1.0,4.0,,0.7413339982433821,1.1520452459361157,0.7554033077545561,3,4,1.0,False,True,46,-5795.003898759589
0.902,4.720762550180394,0.9,4.719962391654236,0.0,20.0,1.0,-2.220446049250313e-16,0.9073333333333333,4.743050991832,0.0,1.0,4.0,,0.7629308228054819,0.5486890004496886,0.7418949052147353,3,4,1.5,False,True,41,-5907.649936540485
0.906,5.217226819750757,0.9046666666666666,5.100569663201752,0.0,20.0,1.0,-2.220446049250313e-16,0.9046666666666666,5.0908089863476755,0.0,1.0,4.0,,0.7638948998433835,0.5453472089312139,0.7295595326815463,3,4,2.0,False,True,12,-6065.166577527572
0.9036666666666666,4.243034654133928,0.9123333333333333,4.287685954899357,0.0,20.0,1.0,0.0,0.9083333333333333,4.229830103333231,0.0,1.0,4.0,,0.7560505506858632,2.4438268838025086,0.7233174068223773,4,4,0.5,False,True,23,-5745.518267522224
0.921,4.305462319310946,0.9143333333333333,4.214774108926337,0.0,20.0,1.0,0.0,0.9143333333333333,4.174800724829459,0.0,1.0,4.0,,0.7620720969673244,1.2138344947460455,0.7500493546171643,4,4,0.75,False,True,24,-5832.832408479813
0.911,4.528051567599864,0.914,4.403919866666755,0.0,20.0,1.0,-2.220446049250313e-16,0.9046666666666666,4.420832309047768,0.0,1.0,4.0,,0.7631409408844148,0.5386166853064517,0.720213939256618,4,4,1.0,False,True,43,-5745.905307529818
0.9156666666666666,4.871749297396764,0.895,4.623324916837775,0.0,20.0,1.0,0.0,0.9013333333333333,4.653073348955415,0.0,1.0,4.0,,0.7595496346198558,0.5666211429423984,0.7629255898681958,4,4,1.5,False,True,23,-5867.827467638656
0.8946666666666667,5.024842902614371,0.8913333333333333,5.01017700645626,0.0,20.0,1.0,0.0,0.89,4.936644696414459,0.0,1.0,4.0,,0.7604807930886269,0.533704318590066,0.7105128994565628,4,4,2.0,False,True,23,-5985.069512694658
0.9096666666666666,4.228842386049747,0.9073333333333333,4.231161756777922,0.0,20.0,1.0,0.0,0.9003333333333333,4.154384690317869,0.0,1.0,4.0,,0.7535980050703671,1.4441538470549249,0.7473424798837961,5,4,0.5,False,True,22,-5775.532067100312
0.886,4.11621706325997,0.8763333333333333,4.057793952076733,0.0,20.0,1.0,0.0,0.881,4.050995939195572,0.0,1.0,4.0,,0.7540114171277682,1.3483595243805033,0.7357071108084059,5,4,0.75,False,True,21,-5786.974700049401
0.881,4.236183152142319,0.8826666666666667,4.178784056889958,0.0,20.0,1.0,0.0,0.884,4.15088038601991,0.0,1.0,4.0,,0.7636759515095163,0.5405914235147028,0.7251325709689368,5,4,1.0,False,True,41,-5763.422000341383
0.9206666666666666,4.941204231512205,0.9233333333333333,4.885460623182446,0.0,20.0,1.0,0.0,0.9143333333333333,4.788571208166086,0.0,1.0,4.0,,0.7639938937124912,0.5264729454394965,0.7011181320914168,5,4,1.5,False,True,40,-5872.429727754155
0.9133333333333333,5.292820117708432,0.8966666666666666,5.113969688891305,0.0,20.0,1.0,0.0,0.9023333333333333,5.133791910929213,0.0,1.0,4.0,,0.7615629202913305,0.5525517436724465,0.7507578768828618,5,4,2.0,False,True,24,-5993.213669903293
0.8853333333333333,4.053544901384686,0.889,4.011578953617603,0.0,20.0,1.0,0.0,0.8903333333333333,4.010722710286192,0.0,1.0,4.0,,0.7628953591370009,1.3206779352584257,0.7414426353195258,6,4,0.5,False,True,18,-5769.470788927982
0.8946666666666667,4.310389849895604,0.891,4.168071290718145,0.0,20.0,1.0,0.0,0.8883333333333333,4.175841503500805,0.0,1.0,4.0,,0.7582587117929588,1.2955721250992558,0.7543415488878875,6,4,0.75,False,True,61,-5795.173585305081
0.8913333333333333,4.391140708759871,0.8953333333333333,4.311778247591646,0.0,20.0,1.0,0.0,0.8936666666666667,4.338637298745656,0.0,1.0,4.0,,0.7499570258762175,1.3548300660042438,0.7814110162817909,6,4,1.0,False,True,9,-5867.1385272479365
0.8996666666666666,4.745353076440801,0.8986666666666666,4.6324083138867564,0.0,20.0,1.0,0.0,0.8976666666666666,4.608016597874232,0.0,1.0,4.0,,0.7569770404914269,0.5293131685639996,0.7000898714466769,6,4,1.5,False,True,24,-5889.027376489939
0.8966666666666666,5.127031843287437,0.889,4.997615423000006,0.0,20.0,1.0,0.0,0.8943333333333333,4.987615692541153,0.0,1.0,4.0,,0.767141800644133,0.5497700079557853,0.7367089376616203,6,4,2.0,False,True,25,-5999.957799322901
0.8953333333333333,4.15129322669216,0.8896666666666667,4.003148282254233,0.0,20.0,1.0,-2.220446049250313e-16,0.8943333333333333,4.031899638357139,0.0,1.0,4.0,,0.761925580661846,7.272691304792191,0.7688479192731753,7,4,0.5,False,True,9,-6065.514461556192
