trial,seed,method,coverage_rate,avg_length,coverage_vs_scp,length_efficiency_vs_scp,noisy_accuracy,ambiguous_rate
1,892252533,SCP,0.9601593625498008,154.90458190995426,0.0,1.0,1.0,0.0
1,892252533,Cluster-wise Oracle,0.8884462151394422,130.9968971684349,-0.07171314741035861,1.1825057330234243,1.0,0.0
1,892252533,PCP,0.9163346613545816,148.7708263448563,-0.043824701195219196,1.0412295590190492,1.0,0.0
2,280075962,SCP,0.8924302788844621,128.2065037290736,0.0,1.0,1.0,0.0
2,280075962,Cluster-wise Oracle,0.8844621513944223,124.85723124617137,-0.007968127490039834,1.0268248178297237,1.0,0.0
2,280075962,PCP,0.896414342629482,126.98963054675004,0.003984063745019917,1.0095824610016138,1.0,0.0
3,261639274,SCP,0.9362549800796812,141.51681539067468,0.0,1.0,1.0,0.0
3,261639274,Cluster-wise Oracle,0.8685258964143426,125.86178584109234,-0.06772908366533859,1.1243827063549512,1.0,0.0
3,261639274,PCP,0.9083665338645418,151.84306079947004,-0.027888446215139417,0.9319939590625573,1.0,0.0
4,461146709,SCP,0.9482071713147411,147.3732382856019,0.0,1.0,1.0,0.0
4,461146709,Cluster-wise Oracle,0.900398406374502,140.58415029782256,-0.04780876494023911,1.0482919872076397,1.0,0.0
4,461146709,PCP,0.9482071713147411,160.82725963961,0.0,0.916344894614529,1.0,0.0
5,894992020,SCP,0.8764940239043825,116.6594858052836,0.0,1.0,1.0,0.0
5,894992020,Cluster-wise Oracle,0.8286852589641435,104.88575622432555,-0.047808764940239,1.1122528930980566,1.0,0.0
5,894992020,PCP,0.8884462151394422,122.96302281590357,0.01195219123505975,0.948736320348456,1.0,0.0
6,121719692,SCP,0.9322709163346613,145.5746396937533,0.0,1.0,1.0,0.0
6,121719692,Cluster-wise Oracle,0.9282868525896414,142.54962619151226,-0.003984063745019917,1.0212207747088513,1.0,0.0
6,121719692,PCP,0.952191235059761,159.7857392431363,0.019920318725099695,0.9110615276638748,1.0,0.0
7,249280608,SCP,0.8764940239043825,127.90210258354469,0.0,1.0,1.0,0.0
7,249280608,Cluster-wise Oracle,0.7808764940239044,106.8901718853433,-0.09561752988047811,1.1965749547183815,1.0,0.0
7,249280608,PCP,0.8725099601593626,143.1830523093526,-0.003984063745019917,0.8932768265563105,1.0,0.0
8,522608351,SCP,0.8685258964143426,123.99136909467664,0.0,1.0,1.0,0.0
8,522608351,Cluster-wise Oracle,0.8764940239043825,122.76044467987408,0.007968127490039834,1.010027044281344,1.0,0.0
8,522608351,PCP,0.896414342629482,140.01876274666054,0.027888446215139417,0.8855339574669527,1.0,0.0
9,241569548,SCP,0.9641434262948207,161.36034065145708,0.0,1.0,1.0,0.0
9,241569548,Cluster-wise Oracle,0.896414342629482,138.31765468391836,-0.0677290836653387,1.1665925150350152,1.0,0.0
9,241569548,PCP,0.9880478087649402,186.94761635879516,0.0239043824701195,0.8631313080866981,1.0,0.0
10,409168408,SCP,0.8924302788844621,124.31999228502188,0.0,1.0,1.0,0.0
10,409168408,Cluster-wise Oracle,0.8366533864541833,115.9852477698171,-0.055776892430278835,1.0718603846218946,1.0,0.0
10,409168408,PCP,0.8685258964143426,141.57016263567618,-0.0239043824701195,0.8781510875632265,1.0,0.0
11,344284244,SCP,0.9243027888446215,131.20584000116654,0.0,1.0,1.0,0.0
11,344284244,Cluster-wise Oracle,0.896414342629482,118.30005309801024,-0.027888446215139417,1.109093669573115,1.0,0.0
11,344284244,PCP,0.9362549800796812,138.10856696126118,0.01195219123505975,0.9500195598870357,1.0,0.0
12,71639547,SCP,0.8844621513944223,118.63572903764772,0.0,1.0,1.0,0.0
12,71639547,Cluster-wise Oracle,0.8207171314741036,105.06229760797665,-0.06374501992031867,1.1291941232840557,1.0,0.0
12,71639547,PCP,0.8605577689243028,113.48283969784627,-0.0239043824701195,1.0454067712221624,1.0,0.0
13,98966675,SCP,0.8804780876494024,115.63152780068584,0.0,1.0,1.0,0.0
13,98966675,Cluster-wise Oracle,0.848605577689243,111.827184091102,-0.031872509960159334,1.0340198471463304,1.0,0.0
13,98966675,PCP,0.8884462151394422,122.73904558488411,0.007968127490039834,0.9420924470258909,1.0,0.0
14,662522864,SCP,0.9402390438247012,127.62749891793507,0.0,1.0,1.0,0.0
14,662522864,Cluster-wise Oracle,0.9243027888446215,122.09584284489624,-0.015936254980079778,1.0453058510768949,1.0,0.0
14,662522864,PCP,0.9482071713147411,137.1228224457908,0.007968127490039834,0.9307531499243348,1.0,0.0
15,986288363,SCP,0.8207171314741036,109.01847584820828,0.0,1.0,1.0,0.0
15,986288363,Cluster-wise Oracle,0.8047808764940239,103.83818162791192,-0.015936254980079778,1.0498881446023307,1.0,0.0
15,986288363,PCP,0.9282868525896414,134.2977450438255,0.10756972111553775,0.8117669869485313,1.0,0.0
16,929810383,SCP,0.7888446215139442,107.48903796086304,0.0,1.0,1.0,0.0
16,929810383,Cluster-wise Oracle,0.796812749003984,107.76705561476071,0.007968127490039834,0.9974201981086733,1.0,0.0
16,929810383,PCP,0.8844621513944223,143.10958436650733,0.09561752988047811,0.7510960110510897,1.0,0.0
17,694067882,SCP,0.952191235059761,143.21103722288305,0.0,1.0,1.0,0.0
17,694067882,Cluster-wise Oracle,0.9043824701195219,121.94008685140165,-0.04780876494023911,1.1744377170848055,1.0,0.0
17,694067882,PCP,0.9482071713147411,145.77071666774015,-0.003984063745019917,0.9824403727760257,1.0,0.0
18,922690661,SCP,0.8844621513944223,121.63509683258866,0.0,1.0,1.0,0.0
18,922690661,Cluster-wise Oracle,0.7808764940239044,99.91170765365426,-0.10358565737051795,1.2174258621846292,1.0,0.0
18,922690661,PCP,0.9442231075697212,150.3617396660542,0.05976095617529886,0.8089497840523396,1.0,0.0
19,550679864,SCP,0.8764940239043825,118.99971071106299,0.0,1.0,1.0,0.0
19,550679864,Cluster-wise Oracle,0.8764940239043825,112.89095813506012,0.0,1.0541119738632612,1.0,0.0
19,550679864,PCP,0.9043824701195219,122.46378678133941,0.027888446215139417,0.971713465985977,1.0,0.0
20,640176808,SCP,0.9243027888446215,143.65092540505756,0.0,1.0,1.0,0.0
20,640176808,Cluster-wise Oracle,0.852589641434263,122.63911647841691,-0.0717131474103585,1.1713304003648664,1.0,0.0
20,640176808,PCP,0.8884462151394422,140.28203130686742,-0.03585657370517925,1.0240151505278725,1.0,0.0
21,404504663,SCP,0.896414342629482,120.25526730419398,0.0,1.0,1.0,0.0
21,404504663,Cluster-wise Oracle,0.8645418326693227,114.1938598716616,-0.031872509960159334,1.0530799767986174,1.0,0.0
21,404504663,PCP,0.9243027888446215,141.43705410654138,0.027888446215139417,0.8502387727448592,1.0,0.0
22,270488856,SCP,0.9362549800796812,141.97403507423772,0.0,1.0,1.0,0.0
22,270488856,Cluster-wise Oracle,0.9123505976095617,134.36076325531803,-0.0239043824701195,1.0566629098738642,1.0,0.0
22,270488856,PCP,0.9681274900398407,167.31390790673282,0.031872509960159445,0.8485489153321282,1.0,0.0
23,701311916,SCP,0.8924302788844621,124.39038766685707,0.0,1.0,1.0,0.0
23,701311916,Cluster-wise Oracle,0.8924302788844621,123.80449973158088,0.0,1.0047323638199455,1.0,0.0
23,701311916,PCP,0.9402390438247012,144.6843502932709,0.04780876494023911,0.8597362977731967,1.0,0.0
24,301873966,SCP,0.9362549800796812,148.73300106435752,0.0,1.0,1.0,0.0
24,301873966,Cluster-wise Oracle,0.9043824701195219,132.67690075712386,-0.031872509960159334,1.1210165463287818,1.0,0.0
24,301873966,PCP,0.9362549800796812,146.60881392245187,0.0,1.0144888092678332,1.0,0.0
25,555306653,SCP,0.9362549800796812,146.86117217511193,0.0,1.0,1.0,0.0
25,555306653,Cluster-wise Oracle,0.8605577689243028,124.75641984363304,-0.07569721115537842,1.1771832853105637,1.0,0.0
25,555306653,PCP,0.9043824701195219,143.13481513521384,-0.031872509960159334,1.0260338970388019,1.0,0.0
26,73342067,SCP,0.852589641434263,119.1899717683227,0.0,1.0,1.0,0.0
26,73342067,Cluster-wise Oracle,0.7848605577689243,111.13016536567339,-0.0677290836653387,1.0725258202948638,1.0,0.0
26,73342067,PCP,0.8844621513944223,141.5911795307816,0.031872509960159334,0.8417895250488473,1.0,0.0
27,212590453,SCP,0.952191235059761,136.57317866819506,0.0,1.0,1.0,0.0
27,212590453,Cluster-wise Oracle,0.9282868525896414,128.61194067823254,-0.02390438247011961,1.0619012352039716,1.0,0.0
27,212590453,PCP,0.9482071713147411,144.22630164786233,-0.003984063745019917,0.9469367036925563,1.0,0.0
28,52585571,SCP,0.8924302788844621,128.20423814647654,0.0,1.0,1.0,0.0
28,52585571,Cluster-wise Oracle,0.8167330677290837,113.29671163610512,-0.07569721115537842,1.1315795162550926,1.0,0.0
28,52585571,PCP,0.848605577689243,121.69637759540078,-0.043824701195219085,1.053476205945194,1.0,0.0
29,615846375,SCP,0.9083665338645418,133.30375863459957,0.0,1.0,1.0,0.0
29,615846375,Cluster-wise Oracle,0.8565737051792829,125.135810488918,-0.05179282868525892,1.0652726674624042,1.0,0.0
29,615846375,PCP,0.9043824701195219,136.49226154257462,-0.003984063745019917,0.9766396799940157,1.0,0.0
30,807475128,SCP,0.9800796812749004,160.06317271176937,0.0,1.0,1.0,0.0
30,807475128,Cluster-wise Oracle,0.9721115537848606,146.46444375899588,-0.007968127490039834,1.0928466227281066,1.0,0.0
30,807475128,PCP,0.9880478087649402,179.33137808479694,0.007968127490039834,0.8925553041592276,1.0,0.0
31,878986733,SCP,0.9561752988047809,152.9904411811462,0.0,1.0,1.0,0.0
31,878986733,Cluster-wise Oracle,0.9043824701195219,143.94212762921535,-0.05179282868525903,1.0628607739857692,1.0,0.0
31,878986733,PCP,0.9163346613545816,152.32362114575335,-0.03984063745019928,1.0043776535141242,1.0,0.0
32,813305335,SCP,0.9243027888446215,144.13464490049702,0.0,1.0,1.0,0.0
32,813305335,Cluster-wise Oracle,0.9043824701195219,137.52648764961262,-0.019920318725099584,1.0480500692180879,1.0,0.0
