trial,seed,method,coverage_rate,avg_length,coverage_vs_scp,length_efficiency_vs_scp,noisy_accuracy,ambiguous_rate
1,740963724,SCP,0.936,30.455180136617845,0.0,1.0,0.691,0.423
1,740963724,Cluster-wise Oracle,0.933,31.99616093634791,-0.0030000000000000027,0.9518385720463264,0.691,0.423
1,740963724,PCP,0.944,34.46493958046922,0.007999999999999896,0.883656855556374,0.691,0.423
2,845074792,SCP,0.902,39.97526734375903,0.0,1.0,0.731,0.37
2,845074792,Cluster-wise Oracle,0.851,37.87319404364499,-0.051000000000000045,1.055502931643199,0.731,0.37
2,845074792,PCP,0.903,45.7563651032426,0.0010000000000000009,0.8736547855923572,0.731,0.37
3,107340830,SCP,0.875,40.307348132978305,0.0,1.0,0.691,0.41
3,107340830,Cluster-wise Oracle,0.882,38.017937910846705,0.007000000000000006,1.060219210928808,0.691,0.41
3,107340830,PCP,0.903,42.41979982849321,0.028000000000000025,0.9502012809099589,0.691,0.41
4,160973091,SCP,0.902,52.78027033257236,0.0,1.0,0.699,0.422
4,160973091,Cluster-wise Oracle,0.893,47.72848354938976,-0.009000000000000008,1.1058442759438392,0.699,0.422
4,160973091,PCP,0.912,54.14298732121731,0.010000000000000009,0.9748311451571691,0.699,0.422
5,557744547,SCP,0.861,41.76198661514486,0.0,1.0,0.731,0.365
5,557744547,Cluster-wise Oracle,0.872,44.516916197633456,0.01100000000000001,0.9381149949772342,0.731,0.365
5,557744547,PCP,0.912,50.09821479376976,0.051000000000000045,0.8336022907614346,0.731,0.365
6,761633120,SCP,0.901,25.24482906016472,0.0,1.0,0.806,0.287
6,761633120,Cluster-wise Oracle,0.883,24.764765155640635,-0.018000000000000016,1.0193849568734852,0.806,0.287
6,761633120,PCP,0.918,27.652700671954722,0.017000000000000015,0.9129245407038287,0.806,0.287
7,368079941,SCP,0.927,27.431934259710214,0.0,1.0,0.776,0.335
7,368079941,Cluster-wise Oracle,0.897,23.68905856598949,-0.030000000000000027,1.158000187440728,0.776,0.335
7,368079941,PCP,0.922,27.065895126366723,-0.0050000000000000044,1.0135239988049354,0.776,0.335
8,35819287,SCP,0.882,42.367531658355006,0.0,1.0,0.718,0.375
8,35819287,Cluster-wise Oracle,0.852,38.79288454177135,-0.030000000000000027,1.0921469789835956,0.718,0.375
8,35819287,PCP,0.891,43.90821147348199,0.009000000000000008,0.9649113511248922,0.718,0.375
9,214941963,SCP,0.884,49.91160082192764,0.0,1.0,0.669,0.453
9,214941963,Cluster-wise Oracle,0.897,49.51209618643877,0.013000000000000012,1.0080688289581707,0.669,0.453
9,214941963,PCP,0.92,52.68727229525715,0.03600000000000003,0.9473179887207906,0.669,0.453
10,456282377,SCP,0.901,38.95879395541537,0.0,1.0,0.678,0.418
10,456282377,Cluster-wise Oracle,0.888,37.07107327961327,-0.013000000000000012,1.0509216623312665,0.678,0.418
10,456282377,PCP,0.894,39.75556879833282,-0.007000000000000006,0.9799581576367521,0.678,0.418
11,385824037,SCP,0.891,38.628166513882825,0.0,1.0,0.877,0.171
11,385824037,Cluster-wise Oracle,0.877,36.66627606637353,-0.014000000000000012,1.0535066731063136,0.877,0.171
11,385824037,PCP,0.888,38.50790070637157,-0.0030000000000000027,1.003123146297387,0.877,0.171
12,915269920,SCP,0.913,34.23056420801663,0.0,1.0,0.881,0.163
12,915269920,Cluster-wise Oracle,0.902,31.666329856996615,-0.01100000000000001,1.0809766828868377,0.881,0.163
12,915269920,PCP,0.915,32.89803985281438,0.0020000000000000018,1.040504673262114,0.881,0.163
13,428164498,SCP,0.9,44.44408033256128,0.0,1.0,0.819,0.239
13,428164498,Cluster-wise Oracle,0.888,42.625918261808486,-0.01200000000000001,1.0426539097547562,0.819,0.239
13,428164498,PCP,0.917,47.39143054215709,0.017000000000000015,0.9378083721913819,0.819,0.239
14,638101170,SCP,0.85,32.7256149164209,0.0,1.0,0.844,0.217
14,638101170,Cluster-wise Oracle,0.876,31.879105923287533,0.026000000000000023,1.0265537244102885,0.844,0.217
14,638101170,PCP,0.879,34.18524327621657,0.029000000000000026,0.957302384891578,0.844,0.217
15,611343108,SCP,0.892,54.297167089983745,0.0,1.0,0.736,0.356
15,611343108,Cluster-wise Oracle,0.845,50.1590978923158,-0.04700000000000004,1.0824988760075345,0.736,0.356
15,611343108,PCP,0.882,55.75965771578932,-0.010000000000000009,0.9737715279161149,0.736,0.356
16,91056656,SCP,0.934,53.36732653739277,0.0,1.0,0.841,0.225
16,91056656,Cluster-wise Oracle,0.909,50.04506687525276,-0.025000000000000022,1.0663853576301816,0.841,0.225
16,91056656,PCP,0.918,54.08264976912776,-0.016000000000000014,0.9867735172964228,0.841,0.225
17,736385870,SCP,0.865,24.33163681339619,0.0,1.0,0.859,0.205
17,736385870,Cluster-wise Oracle,0.889,25.331081995022213,0.02400000000000002,0.9605447101777009,0.859,0.205
17,736385870,PCP,0.894,26.63862272162345,0.029000000000000026,0.9133969525250792,0.859,0.205
18,49947121,SCP,0.914,35.46954452455093,0.0,1.0,0.81,0.281
18,49947121,Cluster-wise Oracle,0.897,34.59641038258441,-0.017000000000000015,1.0252377091238938,0.81,0.281
18,49947121,PCP,0.909,35.800515180034374,-0.0050000000000000044,0.9907551426615218,0.81,0.281
19,15289656,SCP,0.89,34.04314358225848,0.0,1.0,0.744,0.356
19,15289656,Cluster-wise Oracle,0.873,31.869933558143007,-0.017000000000000015,1.0681899766170113,0.744,0.356
19,15289656,PCP,0.886,34.16827104762655,-0.0040000000000000036,0.9963379046837444,0.744,0.356
20,585341187,SCP,0.921,53.56697123622072,0.0,1.0,0.833,0.235
20,585341187,Cluster-wise Oracle,0.907,50.80205433920078,-0.014000000000000012,1.0544252970275343,0.833,0.235
